Class;Text
POS;2019-2020 finansiniais metais „Dotnuvos Baltic“ pajamos maþëjo 0,9 proc. iki 68,9 mln. eurø, o pelnas augo 11 proc. iki 7,2 mln. eurø. Daugiausia átakos tam turëjo iðaugusi prekyba nauja þemës ûkio technika Lietuvoje, praneðë bendrovë.
POS;Anot jo, átakos rezultatams turëjo ir suvaldyta pirmosios pandemijos bangos átaka.
POS;Ðiemet, po dvejø gana prastø metø, derliaus prognozës buvo kur kas optimistiðkesnës, tad mûsø klientai turëjo daugiau galimybiø investuoti á naujà technikà. Juos tam paskatino ir europinës programos þemës ûkio technikos atnaujinimui“, – praneðime sakë ámonës vadovas Jonas Bakðys.
POS;Þemës ûkio technikos aptarnavimo veiklos pajamas bendrovë augino 25 procentais. Pardavimai ið sëklø veiklos maþëjo 2 proc., tai lëmë vidutiniðkai 5,5 proc. sumaþëjusi kaina, kuriai átakos turëjo pigesnë þaliava.
POS;Naujais finansiniais metais bendrovë koncentruosis á sëklø ruoðimo pajëgumø didinimà – ji yra suplanavusi 1,3 mln. eurø investicijà á sandëlá, taip pat á árangos ir technikos asortimento atnaujinimà, iðmaniosios þemdirbystës ar iðmaniàsias drenaþo sistemas.
POS;Pasaulio akcijø birþose vakcinos lûkesèiø pradþiuginti investuotojai gráþta skaièiuoti tebeauganèiø COVID–19 atvejø skaièiaus. Gerëjanèius rezultatus paskelbusi „Ignitis grupë“ vis dar neátikina pirkëjø sugráþti.
POS;Pasaulinë naujø orlaiviø paklausa pandemijos pasekmes jus ne vienerius metus, kai kurie ekspertai prognozuoja, kad jai atsigauti prireiks ir deðimtmeèio. Nepaisant to, „Boeing“ kà tik pagerino savo prognozes dël pardavimø Kinijoje – dabar orlaiviø gamintojas ateinanèiam dvideðimtmeèiui ðioje rinkoje prognozuoja parduosiantis net daugiau naujø lëktuvø nei prognozavo prieð pandemijà.
POS;Optimizmà dël Kinijos „Boeing“ grindþia prognozëmis, kad èia keleiviniø reisø apimtys atsigaus, o paskui ir augs greièiau nei likusiame pasaulyje – po 5,5% kasmet ateinanèius 20 metø, palyginus su 4% prognozuojamu tarptautiniu augimu.
NEU;NASA penktadiená praneðë, kad pilotuojamas bendrovës „SpaceX“ erdvëlaivio skrydis á Tarptautinæ kosminæ stotá (TKS), turëjæs ávykti ðeðtadiená, atidedamas parai dël nepalankiø orø.
NEG;Praneðama, kad „laiðkà L. Kukuraièiui praëjusiø metø gruodá paraðë Vaikø iðlaikymo fondo Finansø ir apskaitos skyriaus vedëja Viktorija Kaplan-Baranova bei Iðmokø skyriaus vedëja Regina Dagienë“, kurios „nuogàstavo, kad fondas gali bendrovei „Algoritmø sistemos“ sumokëti beveik 50 tûkst. eurø uþ informacinës sistemos ádiegimà, nors ði neveikia“.
NEG;Vienas áspûdingiausiø firmos projektø – taip vadinamos lietuviø ðneka valdomos paslaugos (LIEPA). Su ðiomis, beveik niekieno nenaudojamomis nuostabiomis paslaugomis (tartuvu, narðytuvu, paþintuvu, valdytuvu, ieðkotuvu, pagalbininku, lietuviø ðnekos sintezatoriumi akliesiems) ypaè gerai pritaikytai ir operacinei sistemai Mac'OS, iðsamiai galite susipaþinti ÈIA.
NEG;Nepriklausomas portalas delfi.lt praneðë, kad Vaikø iðlaikymo fondo administracijos darbuotojos, kurios informavo Socialiniø reikalø ir darbo ministrà Linà Kukuraitá apie galimà aferà, firmai „Algoritmø sistemos“ vykdant informacinës sistemos ádiegimà, susilaukë nemalonumø.
